Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
94,Derrick White,SG,29,BOS,19,19,620,94,195,0.482,48,113,0.425,46,82,0.561,0.605,58,66,0.879,13,60,73,97,21,18,34,47,294,whitede01
95,De'Anthony Melton,SG,25,PHI,23,23,684,96,242,0.397,53,138,0.384,43,104,0.413,0.506,48,60,0.8,18,77,95,85,34,12,31,59,293,meltode01
96,Rudy Gobert,C,31,MIN,22,22,714,111,181,0.613,0,0,,111,181,0.613,0.613,70,110,0.636,85,184,269,23,12,55,35,64,292,goberru01
97,Jusuf Nurkić,C,29,PHO,24,24,678,106,230,0.461,16,59,0.271,90,171,0.526,0.496,64,89,0.719,68,167,235,94,24,29,47,86,292,nurkiju01
98,Buddy Hield,SF,31,IND,22,10,566,108,238,0.454,62,160,0.388,46,78,0.59,0.584,11,13,0.846,17,54,71,57,18,12,31,43,289,hieldbu01
99,Malik Beasley,SG,27,MIL,24,24,727,104,215,0.484,71,155,0.458,33,60,0.55,0.649,8,12,0.667,17,89,106,35,23,4,16,50,287,beaslma01
100,James Harden,SG,34,LAC,18,18,603,86,186,0.462,41,104,0.394,45,82,0.549,0.573,74,85,0.871,5,78,83,123,28,10,41,36,287,hardeja01
101,Norman Powell,SG,30,LAC,23,0,563,96,201,0.478,42,95,0.442,54,106,0.509,0.582,51,60,0.85,4,42,46,25,15,11,23,44,285,powelno01
102,Moritz Wagner,C,26,ORL,23,0,444,111,178,0.624,13,38,0.342,98,140,0.7,0.66,48,62,0.774,33,64,97,26,12,9,33,55,283,wagnemo01
103,Naz Reid,C,24,MIN,22,0,483,108,218,0.495,36,99,0.364,72,119,0.605,0.578,29,32,0.906,25,75,100,19,16,13,23,35,281,reidna01
104,P.J. Washington,PF,25,CHO,21,12,626,106,245,0.433,40,122,0.328,66,123,0.537,0.514,28,39,0.718,23,84,107,50,15,19,30,58,280,washipj01
105,Bobby Portis,PF,28,MIL,24,0,568,115,234,0.491,20,62,0.323,95,172,0.552,0.534,29,37,0.784,35,118,153,28,17,13,21,57,279,portibo01
106,Deni Avdija,SF,23,WAS,23,23,619,109,210,0.519,23,66,0.348,86,144,0.597,0.574,37,44,0.841,27,99,126,92,19,8,34,49,278,avdijde01
107,Dillon Brooks,SF,28,HOU,21,21,652,101,218,0.463,37,94,0.394,64,124,0.516,0.548,38,45,0.844,16,57,73,36,19,1,42,85,277,brookdi01
108,Jordan Hawkins,SG,21,NOP,24,9,616,90,237,0.38,56,155,0.361,34,82,0.415,0.498,40,46,0.87,17,66,83,39,10,0,22,44,276,hawkijo01
109,Ivica Zubac,C,26,LAC,23,23,615,119,190,0.626,0,0,,119,190,0.626,0.626,38,65,0.585,70,137,207,21,4,33,27,64,276,zubaciv01
110,Bruce Brown,SG,27,IND,22,22,701,99,214,0.463,26,80,0.325,73,134,0.545,0.523,47,59,0.797,15,89,104,64,28,5,25,52,271,brownbr01
111,Obi Toppin,PF,25,IND,22,21,526,109,182,0.599,26,73,0.356,83,109,0.761,0.67,27,34,0.794,22,51,73,28,13,13,17,47,271,toppiob01
112,Aaron Gordon,PF,28,DEN,21,21,689,114,231,0.494,10,43,0.233,104,188,0.553,0.515,32,62,0.516,61,92,153,76,20,15,33,38,270,gordoaa01
113,Jabari Smith Jr.,PF,20,HOU,21,21,637,105,213,0.493,34,92,0.37,71,121,0.587,0.573,26,36,0.722,38,145,183,37,13,16,28,64,270,smithja05
114,Kentavious Caldwell-Pope,SG,30,DEN,25,25,822,91,202,0.45,36,89,0.404,55,113,0.487,0.54,46,51,0.902,10,38,48,63,36,11,30,51,264,caldwke01
115,Jakob Poeltl,C,28,TOR,24,24,642,118,164,0.72,0,0,,118,164,0.72,0.72,27,53,0.509,71,134,205,56,17,28,36,65,263,poeltja01
116,Keyonte George,PG,20,UTA,24,16,618,83,230,0.361,39,122,0.32,44,108,0.407,0.446,57,73,0.781,12,60,72,120,12,3,55,26,262,georgke01
117,Jonathan Kuminga,PF,21,GSW,22,1,450,97,204,0.475,15,53,0.283,82,151,0.543,0.512,53,80,0.663,22,54,76,20,13,7,30,55,262,kuminjo01
118,Russell Westbrook,PG,35,LAC,23,10,575,105,237,0.443,16,58,0.276,89,179,0.497,0.477,36,58,0.621,36,112,148,112,26,11,56,50,262,westbru01
119,Herbert Jones,SF,25,NOP,22,22,674,89,180,0.494,25,74,0.338,64,106,0.604,0.564,56,64,0.875,28,71,99,62,38,26,33,77,259,joneshe01
120,Clint Capela,C,29,ATL,23,23,586,110,194,0.567,0,0,,110,194,0.567,0.567,37,58,0.638,111,127,238,26,15,38,19,61,257,capelca01
121,Josh Giddey,SG,21,OKC,22,22,573,109,261,0.418,18,56,0.321,91,205,0.444,0.452,21,27,0.778,33,99,132,97,19,10,55,30,257,giddejo01
122,Malcolm Brogdon,PG,31,POR,15,10,422,91,221,0.412,30,79,0.38,61,142,0.43,0.48,43,54,0.796,15,45,60,91,13,3,27,19,255,brogdma01
123,Tyus Jones,PG,27,WAS,23,23,615,108,215,0.502,26,75,0.347,82,140,0.586,0.563,13,17,0.765,6,57,63,111,22,5,17,18,255,jonesty01
124,Jalen Suggs,SG,22,ORL,21,21,549,88,193,0.456,33,89,0.371,55,104,0.529,0.541,46,56,0.821,14,59,73,56,38,13,42,59,255,suggsja01
125,Andrew Wiggins,SF,28,GSW,21,21,564,99,240,0.413,19,68,0.279,80,172,0.465,0.452,37,59,0.627,40,52,92,24,6,7,42,51,254,wiggian01
126,Ausar Thompson,SF,21,DET,24,20,664,106,228,0.465,7,49,0.143,99,179,0.553,0.48,34,50,0.68,70,132,202,60,23,30,44,85,253,thompau01
127,Isaiah Stewart,PF,22,DET,24,24,738,93,203,0.458,33,89,0.371,60,114,0.526,0.539,33,42,0.786,44,123,167,35,7,14,41,62,252,stewais01
128,Mike Conley,PG,36,MIN,22,22,653,84,188,0.447,50,117,0.427,34,71,0.479,0.58,33,35,0.943,10,58,68,136,21,2,23,40,251,conlemi01
129,Dario Šarić,C,29,GSW,23,4,495,86,187,0.46,38,98,0.388,48,89,0.539,0.561,41,50,0.82,39,100,139,53,15,6,28,57,251,saricda01
130,Harrison Barnes,PF,31,SAC,22,22,678,85,180,0.472,38,100,0.38,47,80,0.588,0.578,42,51,0.824,19,54,73,32,16,4,17,24,250,barneha02
131,Khris Middleton,SF,32,MIL,20,20,451,96,203,0.473,27,75,0.36,69,128,0.539,0.539,31,39,0.795,16,84,100,86,17,1,37,40,250,middlkh01
132,Caris LeVert,SG,29,CLE,17,1,509,92,224,0.411,28,91,0.308,64,133,0.481,0.473,37,50,0.74,7,54,61,60,16,7,24,30,249,leverca01
133,Lonnie Walker IV,SG,25,BRK,17,0,362,88,180,0.489,44,95,0.463,44,85,0.518,0.611,29,38,0.763,3,42,45,28,10,7,25,16,249,walkelo01
134,Keegan Murray,SF,23,SAC,18,18,579,93,225,0.413,38,123,0.309,55,102,0.539,0.498,24,28,0.857,27,76,103,32,22,8,19,48,248,murrake02
135,Jrue Holiday,PG,33,BOS,20,20,694,94,215,0.437,35,91,0.385,59,124,0.476,0.519,24,29,0.828,34,105,139,98,17,18,41,34,247,holidjr01
136,Jeremy Sochan,PG,20,SAS,23,22,672,95,226,0.42,20,55,0.364,75,171,0.439,0.465,34,45,0.756,35,86,121,95,15,6,57,65,244,sochaje01
137,Kevin Huerter,SG,25,SAC,21,21,552,90,210,0.429,49,133,0.368,41,77,0.532,0.545,14,17,0.824,13,80,93,59,16,6,16,49,243,huertke01
138,Dorian Finney-Smith,PF,30,BRK,22,17,672,91,189,0.481,56,126,0.444,35,63,0.556,0.63,4,6,0.667,44,72,116,28,14,15,20,48,242,finnedo01
139,Mark Williams,C,22,CHO,19,19,508,98,151,0.649,0,0,,98,151,0.649,0.649,46,64,0.719,76,108,184,22,16,20,17,50,242,willima07
140,Corey Kispert,SF,24,WAS,22,1,501,81,179,0.453,44,115,0.383,37,64,0.578,0.575,34,45,0.756,10,46,56,33,9,2,22,41,240,kispeco01
141,CJ McCollum,PG,32,NOP,12,12,395,86,191,0.45,35,88,0.398,51,103,0.495,0.542,33,41,0.805,8,41,49,66,18,10,15,27,240,mccolcj01
142,Jarrett Allen,C,25,CLE,19,19,537,98,146,0.671,0,0,,98,146,0.671,0.671,43,62,0.694,56,97,153,44,14,19,33,57,239,allenja01
143,Miles Bridges,SF,25,CHO,12,10,437,90,181,0.497,24,64,0.375,66,117,0.564,0.564,35,41,0.854,11,70,81,32,17,3,21,25,239,bridgmi02
144,Talen Horton-Tucker,PG,23,UTA,24,8,524,89,224,0.397,30,91,0.33,59,133,0.444,0.464,29,36,0.806,10,56,66,100,20,11,45,54,237,hortota01
145,Cameron Johnson,PF,27,BRK,16,16,471,87,189,0.46,39,99,0.394,48,90,0.533,0.563,22,26,0.846,28,63,91,44,14,3,20,27,235,johnsca02
146,Grayson Allen,SG,28,PHO,19,19,629,78,162,0.481,44,94,0.468,34,68,0.5,0.617,34,38,0.895,14,72,86,55,13,8,28,44,234,allengr01
147,Deandre Ayton,C,25,POR,18,18,575,108,184,0.587,0,0,,108,184,0.587,0.587,17,21,0.81,56,138,194,28,22,13,35,46,233,aytonde01
148,Jaden Ivey,SG,21,DET,20,6,469,80,169,0.473,18,62,0.29,62,107,0.579,0.527,48,61,0.787,14,39,53,52,15,9,36,51,226,iveyja01
149,Aaron Nesmith,SF,24,IND,20,1,489,82,151,0.543,36,81,0.444,46,70,0.657,0.662,23,35,0.657,16,41,57,20,17,11,14,69,223,nesmiaa01
150,Killian Hayes,PG,22,DET,23,19,624,89,204,0.436,18,58,0.31,71,146,0.486,0.48,25,36,0.694,8,61,69,103,26,14,23,45,221,hayeski01
151,Isaiah Joe,SG,24,OKC,22,0,447,70,159,0.44,56,127,0.441,14,32,0.438,0.616,23,27,0.852,2,48,50,25,19,7,10,26,219,joeis01
152,Patrick Williams,PF,22,CHI,25,15,653,81,191,0.424,27,78,0.346,54,113,0.478,0.495,30,42,0.714,30,75,105,32,24,23,29,42,219,willipa01
153,Derrick Jones Jr.,SF,26,DAL,22,21,515,79,159,0.497,36,93,0.387,43,66,0.652,0.61,24,33,0.727,26,57,83,21,14,20,20,35,218,jonesde02
154,Kyle Lowry,PG,37,MIA,23,23,676,72,161,0.447,49,111,0.441,23,50,0.46,0.599,25,30,0.833,18,75,93,96,29,7,33,62,218,lowryky01
155,Gary Trent Jr.,SG,25,TOR,21,2,523,80,210,0.381,39,110,0.355,41,100,0.41,0.474,19,32,0.594,5,34,39,29,14,2,12,21,218,trentga02
156,Taurean Prince,PF,29,LAL,23,23,688,80,182,0.44,43,111,0.387,37,71,0.521,0.558,14,20,0.7,7,54,61,38,18,9,20,48,217,princta02
157,Christian Braun,SG,22,DEN,25,0,501,84,173,0.486,16,41,0.39,68,132,0.515,0.532,32,43,0.744,21,77,98,46,10,7,19,43,216,braunch01
158,Luguentz Dort,SF,24,OKC,21,21,592,70,163,0.429,33,87,0.379,37,76,0.487,0.531,43,52,0.827,27,59,86,26,18,16,21,62,216,dortlu01
159,Jalen Johnson,SF,22,ATL,15,12,449,85,143,0.594,17,40,0.425,68,103,0.66,0.654,25,33,0.758,20,89,109,36,17,15,30,33,212,johnsja05
160,Donte DiVincenzo,SG,27,NYK,23,5,473,71,167,0.425,51,119,0.429,20,48,0.417,0.578,18,26,0.692,18,52,70,42,22,7,23,35,211,divindo01
161,Santi Aldama,PF,23,MEM,17,5,439,82,186,0.441,28,87,0.322,54,99,0.545,0.516,18,29,0.621,26,76,102,38,13,14,19,31,210,aldamsa01
162,Sam Hauser,SF,26,BOS,22,2,499,71,153,0.464,60,135,0.444,11,18,0.611,0.66,8,10,0.8,20,58,78,19,10,8,12,33,210,hausesa01
163,Grant Williams,PF,25,DAL,20,20,587,69,156,0.442,48,113,0.425,21,43,0.488,0.596,20,31,0.645,23,51,74,33,6,11,18,54,206,willigr01
164,Josh Richardson,SG,30,MIA,20,4,557,75,169,0.444,27,86,0.314,48,83,0.578,0.524,28,31,0.903,10,44,54,61,12,5,22,36,205,richajo01
165,Jamal Murray,PG,26,DEN,11,11,328,74,161,0.46,27,60,0.45,47,101,0.465,0.543,28,31,0.903,4,34,38,71,4,8,24,22,203,murraja01
166,Bilal Coulibaly,SF,19,WAS,22,1,590,76,144,0.528,28,66,0.424,48,78,0.615,0.625,22,37,0.595,16,76,92,39,24,15,35,40,202,coulibi01
167,Daniel Gafford,C,25,WAS,20,20,495,85,122,0.697,0,0,,85,122,0.697,0.697,31,47,0.66,51,93,144,33,13,41,22,68,201,gaffoda01
168,Moses Moody,SG,21,GSW,23,4,442,72,150,0.48,27,75,0.36,45,75,0.6,0.57,28,38,0.737,29,51,80,23,17,7,16,36,199,moodymo01
169,Malaki Branham,SG,20,SAS,23,11,489,82,189,0.434,22,75,0.293,60,114,0.526,0.492,12,13,0.923,6,31,37,50,10,3,28,30,198,branhma01
170,Onyeka Okongwu,C,23,ATL,23,0,542,73,133,0.549,8,30,0.267,65,103,0.631,0.579,43,51,0.843,58,99,157,35,11,20,16,64,197,okongon01
171,Marvin Bagley III,C,24,DET,20,7,366,77,134,0.575,1,5,0.2,76,129,0.589,0.578,41,48,0.854,37,59,96,23,2,12,26,30,196,baglema01
